"BehaviorSpace results (NetLogo 5.3)"
"war of attrition.nlogo"
"experiment"
"02/21/2016 20:25:59:501 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","V","x1","x2","dynamic?","[step]","[u] of player 0","[u] of player 1"
"267","50","3","67","false","0","-3","47"
"266","50","3","66","false","0","-3","47"
"269","50","3","69","false","0","-3","47"
"268","50","3","68","false","0","-3","47"
"271","50","3","71","false","0","-3","47"
"272","50","3","72","false","0","-3","47"
"270","50","3","70","false","0","-3","47"
"273","50","3","73","false","0","-3","47"
"274","50","3","74","false","0","-3","47"
"275","50","3","75","false","0","-3","47"
"276","50","3","76","false","0","-3","47"
"277","50","3","77","false","0","-3","47"
"278","50","3","78","false","0","-3","47"
"279","50","3","79","false","0","-3","47"
"280","50","3","80","false","0","-3","47"
"281","50","3","81","false","0","-3","47"
"283","50","3","83","false","0","-3","47"
"282","50","3","82","false","0","-3","47"
"284","50","3","84","false","0","-3","47"
"285","50","3","85","false","0","-3","47"
"286","50","3","86","false","0","-3","47"
"287","50","3","87","false","0","-3","47"
"288","50","3","88","false","0","-3","47"
"289","50","3","89","false","0","-3","47"
"290","50","3","90","false","0","-3","47"
"291","50","3","91","false","0","-3","47"
"292","50","3","92","false","0","-3","47"
"294","50","3","94","false","0","-3","47"
"293","50","3","93","false","0","-3","47"
"1","50","1","1","false","0","24","24"
"295","50","3","95","false","0","-3","47"
"296","50","3","96","false","0","-3","47"
"298","50","3","98","false","0","-3","47"
"297","50","3","97","false","0","-3","47"
"299","50","3","99","false","0","-3","47"
"300","50","3","100","false","0","-3","47"
"301","50","4","1","false","0","49","-1"
"303","50","4","3","false","0","47","-3"
"304","50","4","4","false","0","21","21"
"305","50","4","5","false","0","-4","46"
"306","50","4","6","false","0","-4","46"
"308","50","4","8","false","0","-4","46"
"307","50","4","7","false","0","-4","46"
"309","50","4","9","false","0","-4","46"
"310","50","4","10","false","0","-4","46"
"302","50","4","2","false","0","48","-2"
"312","50","4","12","false","0","-4","46"
"311","50","4","11","false","0","-4","46"
"314","50","4","14","false","0","-4","46"
"313","50","4","13","false","0","-4","46"
"315","50","4","15","false","0","-4","46"
"316","50","4","16","false","0","-4","46"
"317","50","4","17","false","0","-4","46"
"319","50","4","19","false","0","-4","46"
"320","50","4","20","false","0","-4","46"
"321","50","4","21","false","0","-4","46"
"322","50","4","22","false","0","-4","46"
"323","50","4","23","false","0","-4","46"
"324","50","4","24","false","0","-4","46"
"326","50","4","26","false","0","-4","46"
"325","50","4","25","false","0","-4","46"
"327","50","4","27","false","0","-4","46"
"328","50","4","28","false","0","-4","46"
"329","50","4","29","false","0","-4","46"
"330","50","4","30","false","0","-4","46"
"331","50","4","31","false","0","-4","46"
"333","50","4","33","false","0","-4","46"
"332","50","4","32","false","0","-4","46"
"334","50","4","34","false","0","-4","46"
"335","50","4","35","false","0","-4","46"
"336","50","4","36","false","0","-4","46"
"337","50","4","37","false","0","-4","46"
"318","50","4","18","false","0","-4","46"
"338","50","4","38","false","0","-4","46"
"339","50","4","39","false","0","-4","46"
"340","50","4","40","false","0","-4","46"
"341","50","4","41","false","0","-4","46"
"342","50","4","42","false","0","-4","46"
"343","50","4","43","false","0","-4","46"
"344","50","4","44","false","0","-4","46"
"347","50","4","47","false","0","-4","46"
"346","50","4","46","false","0","-4","46"
"349","50","4","49","false","0","-4","46"
"348","50","4","48","false","0","-4","46"
"350","50","4","50","false","0","-4","46"
"351","50","4","51","false","0","-4","46"
"352","50","4","52","false","0","-4","46"
"353","50","4","53","false","0","-4","46"
"354","50","4","54","false","0","-4","46"
"345","50","4","45","false","0","-4","46"
"355","50","4","55","false","0","-4","46"
"356","50","4","56","false","0","-4","46"
"357","50","4","57","false","0","-4","46"
"358","50","4","58","false","0","-4","46"
"359","50","4","59","false","0","-4","46"
"360","50","4","60","false","0","-4","46"
"361","50","4","61","false","0","-4","46"
"362","50","4","62","false","0","-4","46"
"364","50","4","64","false","0","-4","46"
"365","50","4","65","false","0","-4","46"
"366","50","4","66","false","0","-4","46"
"363","50","4","63","false","0","-4","46"
"367","50","4","67","false","0","-4","46"
"369","50","4","69","false","0","-4","46"
"368","50","4","68","false","0","-4","46"
"370","50","4","70","false","0","-4","46"
"371","50","4","71","false","0","-4","46"
"372","50","4","72","false","0","-4","46"
"373","50","4","73","false","0","-4","46"
"375","50","4","75","false","0","-4","46"
"376","50","4","76","false","0","-4","46"
"377","50","4","77","false","0","-4","46"
"378","50","4","78","false","0","-4","46"
"379","50","4","79","false","0","-4","46"
"380","50","4","80","false","0","-4","46"
"381","50","4","81","false","0","-4","46"
"383","50","4","83","false","0","-4","46"
"382","50","4","82","false","0","-4","46"
"384","50","4","84","false","0","-4","46"
"385","50","4","85","false","0","-4","46"
"386","50","4","86","false","0","-4","46"
"387","50","4","87","false","0","-4","46"
"374","50","4","74","false","0","-4","46"
"389","50","4","89","false","0","-4","46"
"388","50","4","88","false","0","-4","46"
"390","50","4","90","false","0","-4","46"
"391","50","4","91","false","0","-4","46"
"392","50","4","92","false","0","-4","46"
"393","50","4","93","false","0","-4","46"
"394","50","4","94","false","0","-4","46"
"396","50","4","96","false","0","-4","46"
"397","50","4","97","false","0","-4","46"
"398","50","4","98","false","0","-4","46"
"399","50","4","99","false","0","-4","46"
"400","50","4","100","false","0","-4","46"
"401","50","5","1","false","0","49","-1"
"403","50","5","3","false","0","47","-3"
"402","50","5","2","false","0","48","-2"
"404","50","5","4","false","0","46","-4"
"405","50","5","5","false","0","20","20"
"406","50","5","6","false","0","-5","45"
"407","50","5","7","false","0","-5","45"
"408","50","5","8","false","0","-5","45"
"409","50","5","9","false","0","-5","45"
"411","50","5","11","false","0","-5","45"
"410","50","5","10","false","0","-5","45"
"415","50","5","15","false","0","-5","45"
"413","50","5","13","false","0","-5","45"
"414","50","5","14","false","0","-5","45"
"412","50","5","12","false","0","-5","45"
"416","50","5","16","false","0","-5","45"
"417","50","5","17","false","0","-5","45"
"418","50","5","18","false","0","-5","45"
"419","50","5","19","false","0","-5","45"
"420","50","5","20","false","0","-5","45"
"395","50","4","95","false","0","-4","46"
"421","50","5","21","false","0","-5","45"
"422","50","5","22","false","0","-5","45"
"423","50","5","23","false","0","-5","45"
"424","50","5","24","false","0","-5","45"
"425","50","5","25","false","0","-5","45"
"427","50","5","27","false","0","-5","45"
"426","50","5","26","false","0","-5","45"
"429","50","5","29","false","0","-5","45"
"430","50","5","30","false","0","-5","45"
"431","50","5","31","false","0","-5","45"
"432","50","5","32","false","0","-5","45"
"433","50","5","33","false","0","-5","45"
"434","50","5","34","false","0","-5","45"
"436","50","5","36","false","0","-5","45"
"437","50","5","37","false","0","-5","45"
"435","50","5","35","false","0","-5","45"
"438","50","5","38","false","0","-5","45"
"439","50","5","39","false","0","-5","45"
"440","50","5","40","false","0","-5","45"
"441","50","5","41","false","0","-5","45"
"443","50","5","43","false","0","-5","45"
"442","50","5","42","false","0","-5","45"
"444","50","5","44","false","0","-5","45"
"445","50","5","45","false","0","-5","45"
"446","50","5","46","false","0","-5","45"
"447","50","5","47","false","0","-5","45"
"448","50","5","48","false","0","-5","45"
"449","50","5","49","false","0","-5","45"
"450","50","5","50","false","0","-5","45"
"451","50","5","51","false","0","-5","45"
"453","50","5","53","false","0","-5","45"
"428","50","5","28","false","0","-5","45"
"452","50","5","52","false","0","-5","45"
"454","50","5","54","false","0","-5","45"
"455","50","5","55","false","0","-5","45"
"457","50","5","57","false","0","-5","45"
"458","50","5","58","false","0","-5","45"
"456","50","5","56","false","0","-5","45"
"461","50","5","61","false","0","-5","45"
"459","50","5","59","false","0","-5","45"
"462","50","5","62","false","0","-5","45"
"463","50","5","63","false","0","-5","45"
"464","50","5","64","false","0","-5","45"
"465","50","5","65","false","0","-5","45"
"467","50","5","67","false","0","-5","45"
"466","50","5","66","false","0","-5","45"
"468","50","5","68","false","0","-5","45"
"469","50","5","69","false","0","-5","45"
"470","50","5","70","false","0","-5","45"
"471","50","5","71","false","0","-5","45"
"474","50","5","74","false","0","-5","45"
"473","50","5","73","false","0","-5","45"
"472","50","5","72","false","0","-5","45"
"475","50","5","75","false","0","-5","45"
"476","50","5","76","false","0","-5","45"
"478","50","5","78","false","0","-5","45"
"477","50","5","77","false","0","-5","45"
"479","50","5","79","false","0","-5","45"
"481","50","5","81","false","0","-5","45"
"480","50","5","80","false","0","-5","45"
"482","50","5","82","false","0","-5","45"
"484","50","5","84","false","0","-5","45"
"483","50","5","83","false","0","-5","45"
"485","50","5","85","false","0","-5","45"
"486","50","5","86","false","0","-5","45"
"487","50","5","87","false","0","-5","45"
"488","50","5","88","false","0","-5","45"
"489","50","5","89","false","0","-5","45"
"460","50","5","60","false","0","-5","45"
"491","50","5","91","false","0","-5","45"
